时间,参考温度,EDFA电流,EDFA温度,EDFA功率,'-2V5,3V3,1V2,1V8,sys_mon,APD1偏压,APD2偏压,APD温度,APD1设置,APD2设置
14:49:21,33.090000,377,1251,2485,2499,1607,1194,1884,2499,411,413,38.990000,2421,2516,
14:49:24,33.090000,377,1251,2485,2499,1606,1195,1888,2499,413,411,38.990000,2421,2516,
14:49:25,33.110000,377,1251,2481,2499,1605,1194,1884,2499,411,414,38.990000,2421,2516,
14:49:28,33.090000,377,1251,2482,2499,1610,1193,1886,2499,411,411,39.020000,2421,2516,
14:49:29,33.110000,377,1250,2484,2499,1607,1193,1884,2499,411,409,38.990000,2421,2516,
14:49:32,33.110000,377,1251,2484,2499,1607,1193,1883,2499,411,411,38.990000,2421,2516,
14:49:33,33.110000,377,1251,2484,2499,1607,1194,1887,2499,411,412,38.990000,2421,2516,
14:49:36,33.090000,377,1251,2484,2499,1609,1193,1886,2499,410,412,38.990000,2421,2516,
14:49:37,33.110000,377,1251,2485,2499,1606,1193,1885,2499,411,411,38.990000,2421,2516,
14:49:40,33.090000,377,1251,2484,2499,1607,1195,1889,2499,412,413,38.960000,2421,2516,
14:49:42,33.090000,377,1250,2483,2499,1606,1193,1888,2499,410,410,38.990000,2421,2516,
14:49:44,33.110000,377,1250,2484,2499,1609,1195,1887,2499,411,413,38.960000,2421,2516,
14:49:46,33.110000,377,1250,2484,2499,1605,1192,1886,2499,410,411,38.990000,2421,2516,
14:49:48,33.110000,377,1250,2484,2499,1610,1194,1885,2499,411,411,38.990000,2421,2516,
14:49:50,33.110000,377,1251,2482,2499,1609,1194,1886,2499,409,412,38.990000,2421,2516,
14:49:52,33.090000,377,1251,2484,2499,1605,1193,1882,2499,412,412,38.990000,2421,2516,
14:49:54,33.140000,378,1250,2485,2499,1605,1193,1885,2499,411,411,38.990000,2421,2516,
14:49:56,33.110000,378,1251,2480,2499,1605,1195,1882,2499,411,411,38.990000,2421,2516,
14:49:58,33.110000,377,1251,2482,2499,1609,1195,1883,2499,410,411,38.990000,2421,2516,
14:50:00,33.110000,377,1251,2483,2499,1605,1193,1883,2499,410,411,38.960000,2421,2516,
14:50:02,33.110000,377,1250,2482,2499,1607,1195,1884,2499,411,411,38.990000,2421,2516,
14:50:04,33.110000,377,1251,2481,2499,1609,1194,1883,2499,410,413,38.990000,2421,2516,
14:50:06,33.070000,377,1251,2482,2499,1604,1193,1885,2499,411,411,38.990000,2421,2516,
14:50:08,33.090000,378,1251,2481,2499,1607,1193,1884,2499,411,410,38.990000,2421,2516,
14:50:10,33.090000,377,1251,2480,2499,1604,1194,1886,2499,411,411,39.020000,2418,2513,
14:50:13,33.110000,377,1251,2481,2499,1607,1194,1885,2499,411,411,39.020000,2418,2513,
14:50:14,33.110000,377,1250,2483,2499,1606,1193,1886,2499,411,411,39.020000,2418,2513,
14:50:17,33.110000,377,1250,2481,2499,1607,1195,1885,2499,411,411,39.020000,2418,2513,
14:50:18,33.090000,377,1251,2479,2499,1607,1195,1884,2499,410,413,39.040000,2418,2513,
14:50:21,33.090000,377,1251,2481,2499,1608,1195,1884,2499,411,413,39.040000,2418,2513,
14:50:22,33.110000,377,1251,2479,2499,1607,1194,1884,2499,411,412,39.070000,2418,2513,
14:50:25,33.110000,377,1251,2478,2499,1605,1195,1885,2499,411,410,39.070000,2418,2513,
14:50:26,33.110000,377,1251,2479,2499,1605,1193,1884,2499,411,411,39.040000,2418,2513,
14:50:29,33.110000,377,1251,2479,2499,1605,1192,1882,2499,411,411,39.040000,2418,2513,
14:50:30,33.140000,377,1251,2480,2499,1609,1194,1886,2499,412,411,39.040000,2418,2513,
14:50:33,33.110000,377,1251,2479,2499,1608,1195,1885,2499,411,411,39.070000,2418,2513,
14:50:35,33.110000,377,1251,2482,2499,1604,1193,1885,2499,411,413,39.070000,2418,2513,
14:50:37,33.140000,377,1251,2479,2499,1608,1194,1882,2499,410,413,39.070000,2418,2513,
14:50:39,33.140000,377,1251,2481,2499,1604,1193,1884,2499,410,412,39.100000,2418,2513,
14:50:41,33.140000,377,1251,2478,2499,1605,1194,1885,2499,411,411,39.100000,2418,2513,
14:50:43,33.110000,377,1251,2478,2499,1604,1193,1886,2499,410,411,39.100000,2418,2513,
14:50:45,33.140000,377,1251,2479,2499,1608,1194,1887,2499,411,411,39.120000,2418,2513,
14:50:47,33.140000,377,1250,2482,2499,1610,1194,1885,2499,411,411,39.150000,2418,2513,
14:50:49,33.160000,377,1251,2483,2499,1605,1193,1885,2499,411,411,39.180000,2418,2513,
14:50:51,33.160000,377,1251,2474,2499,1605,1194,1882,2499,410,412,39.180000,2418,2513,
14:50:53,33.160000,377,1251,2474,2499,1605,1194,1886,2499,411,413,39.180000,2414,2509,
14:50:55,33.160000,377,1250,2474,2499,1605,1193,1887,2499,411,411,39.180000,2414,2509,
14:50:57,33.160000,377,1251,2472,2499,1607,1194,1883,2499,412,413,39.180000,2414,2509,
14:50:59,33.190000,377,1250,2474,2499,1606,1193,1884,2499,411,410,39.200000,2414,2509,
14:51:01,33.160000,377,1251,2476,2499,1607,1194,1882,2499,411,411,39.200000,2414,2509,
14:51:03,33.210000,377,1251,2474,2499,1606,1193,1883,2499,411,413,39.230000,2414,2509,
14:51:06,33.210000,377,1251,2470,2499,1604,1194,1884,2499,411,412,39.230000,2414,2509,
14:51:07,33.210000,378,1251,2469,2499,1605,1194,1884,2499,411,411,39.250000,2414,2509,
14:51:10,33.230000,377,1251,2471,2499,1610,1193,1884,2499,411,412,39.250000,2414,2509,
14:51:11,33.230000,377,1251,2471,2499,1607,1195,1886,2499,410,413,39.250000,2414,2509,
14:51:14,33.210000,377,1251,2468,2499,1608,1193,1882,2499,410,413,39.280000,2414,2509,
14:51:15,33.230000,377,1251,2468,2499,1608,1194,1889,2499,411,411,39.310000,2414,2509,
14:51:18,33.210000,378,1251,2470,2499,1609,1194,1885,2499,410,412,39.330000,2414,2509,
14:51:19,33.260000,377,1251,2470,2499,1605,1193,1887,2499,410,411,39.310000,2414,2509,
14:51:22,33.230000,377,1251,2466,2499,1605,1194,1885,2499,410,413,39.310000,2411,2506,
14:51:24,33.260000,377,1251,2467,2499,1610,1195,1885,2499,411,411,39.330000,2411,2506,
14:51:26,33.260000,377,1251,2464,2499,1608,1194,1885,2499,413,411,39.330000,2411,2506,
14:51:28,33.260000,377,1251,2462,2499,1606,1195,1885,2499,412,411,39.330000,2411,2506,
14:51:30,33.260000,377,1251,2463,2499,1603,1194,1887,2499,411,411,39.360000,2411,2506,
14:51:32,33.280000,377,1251,2466,2499,1607,1193,1887,2499,412,412,39.390000,2411,2506,
14:51:34,33.280000,377,1251,2462,2499,1602,1194,1886,2499,411,410,39.410000,2411,2506,
14:51:36,33.280000,377,1250,2463,2499,1606,1193,1885,2499,411,411,39.410000,2411,2506,
14:51:38,33.280000,377,1251,2460,2499,1605,1191,1885,2499,411,412,39.410000,2411,2506,
14:51:40,33.310000,377,1251,2459,2499,1604,1194,1883,2499,409,411,39.440000,2411,2506,
14:51:42,33.280000,377,1251,2457,2499,1602,1194,1887,2499,411,411,39.470000,2411,2506,
14:51:44,33.310000,377,1250,2456,2499,1605,1193,1882,2499,412,413,39.470000,2411,2506,
14:51:46,33.310000,377,1251,2456,2499,1604,1194,1885,2499,411,413,39.470000,2411,2506,
14:51:48,33.310000,377,1251,2451,2499,1607,1194,1885,2499,411,413,39.440000,2411,2506,
14:51:50,33.330000,377,1251,2452,2499,1605,1192,1884,2499,410,412,39.490000,2411,2506,
14:51:52,33.330000,377,1250,2449,2499,1607,1194,1887,2499,413,411,39.520000,2411,2506,
14:51:54,33.330000,377,1251,2450,2499,1604,1193,1887,2499,411,413,39.520000,2408,2503,
14:51:56,33.330000,377,1251,2449,2499,1608,1195,1883,2499,411,413,39.550000,2408,2503,
14:51:59,33.330000,377,1251,2448,2499,1607,1193,1886,2499,410,411,39.550000,2408,2503,
14:52:00,33.350000,377,1251,2451,2499,1607,1193,1883,2499,411,411,39.550000,2408,2503,
14:52:03,33.350000,377,1251,2450,2499,1607,1193,1884,2499,413,411,39.550000,2408,2503,
14:52:04,33.350000,377,1251,2449,2499,1605,1194,1885,2499,411,413,39.570000,2408,2503,
14:52:07,33.350000,377,1251,2446,2499,1607,1195,1886,2499,409,411,39.600000,2408,2503,
14:52:08,33.380000,377,1251,2445,2499,1605,1192,1885,2499,411,411,39.600000,2408,2503,
14:52:11,33.350000,377,1251,2443,2499,1605,1195,1884,2499,411,412,39.570000,2408,2503,
14:52:12,33.400000,377,1251,2446,2499,1608,1194,1885,2499,412,413,39.600000,2408,2503,
14:52:15,33.400000,377,1251,2445,2499,1604,1194,1884,2499,410,412,39.630000,2408,2503,
14:52:17,33.400000,377,1251,2446,2499,1606,1195,1887,2499,412,412,39.600000,2408,2503,
14:52:19,33.400000,377,1251,2443,2499,1608,1193,1883,2499,411,414,39.630000,2408,2503,
14:52:21,33.430000,377,1251,2440,2499,1608,1194,1885,2499,410,412,39.630000,2408,2503,
14:52:23,33.380000,377,1251,2439,2499,1606,1194,1884,2499,410,413,39.650000,2408,2503,
14:52:25,33.430000,377,1250,2435,2499,1607,1194,1887,2499,411,411,39.650000,2404,2500,
14:52:27,33.430000,377,1251,2438,2499,1605,1193,1883,2499,411,411,39.680000,2404,2500,
14:52:29,33.430000,377,1251,2435,2499,1605,1193,1887,2499,411,413,39.700000,2404,2500,
14:52:31,33.450000,377,1251,2435,2499,1608,1196,1884,2499,411,412,39.730000,2404,2500,
14:52:33,33.430000,377,1251,2435,2499,1603,1192,1884,2499,411,411,39.730000,2404,2500,
14:52:35,33.450000,377,1251,2434,2499,1602,1195,1885,2499,411,413,39.760000,2404,2500,
14:52:37,33.450000,377,1251,2433,2499,1605,1194,1885,2499,412,411,39.760000,2404,2500,
14:52:39,33.450000,377,1251,2429,2499,1604,1194,1885,2499,413,412,39.780000,2404,2500,
14:52:41,33.470000,377,1251,2432,2499,1604,1195,1885,2499,413,412,39.780000,2404,2500,
14:52:43,33.470000,377,1251,2433,2499,1606,1194,1884,2499,411,412,39.810000,2404,2500,
14:52:45,33.470000,377,1251,2429,2499,1603,1195,1884,2499,410,413,39.840000,2401,2496,
14:52:47,33.470000,377,1251,2427,2499,1608,1194,1889,2499,412,411,39.860000,2401,2496,
14:52:49,33.500000,377,1251,2429,2499,1607,1193,1884,2499,413,413,39.890000,2401,2496,
14:52:52,33.500000,377,1251,2426,2499,1604,1193,1885,2499,411,413,39.890000,2401,2496,
14:52:53,33.520000,377,1251,2423,2499,1605,1193,1883,2499,411,413,39.950000,2401,2496,
14:52:56,33.520000,377,1251,2420,2499,1607,1193,1884,2499,411,411,39.920000,2401,2496,
14:52:57,33.520000,377,1251,2423,2499,1603,1193,1884,2499,411,412,39.950000,2401,2496,
14:53:00,33.520000,377,1251,2423,2499,1608,1194,1884,2499,413,413,39.950000,2401,2496,
14:53:01,33.500000,377,1251,2424,2499,1605,1193,1883,2499,412,411,39.970000,2401,2496,
14:53:04,33.520000,377,1251,2416,2499,1606,1195,1885,2499,411,413,40.000000,2398,2493,
14:53:05,33.550000,377,1251,2415,2499,1602,1194,1883,2499,411,413,40.030000,2398,2493,
14:53:08,33.550000,377,1251,2415,2499,1607,1193,1884,2499,411,413,40.050000,2398,2493,
14:53:10,33.570000,377,1251,2418,2499,1605,1193,1884,2499,411,412,40.050000,2398,2493,
14:53:12,33.570000,377,1251,2415,2499,1608,1195,1884,2499,411,414,40.080000,2398,2493,
14:53:14,33.590000,377,1251,2413,2499,1607,1195,1885,2499,411,413,40.130000,2398,2493,
14:53:16,33.620000,377,1251,2410,2499,1606,1195,1886,2499,411,413,40.160000,2398,2493,
14:53:18,33.570000,377,1251,2408,2499,1604,1195,1882,2499,411,413,40.160000,2398,2493,
14:53:20,33.620000,377,1251,2411,2499,1604,1192,1884,2499,411,413,40.210000,2395,2490,
14:53:22,33.620000,377,1251,2408,2499,1604,1194,1888,2499,413,412,40.210000,2395,2490,
14:53:24,33.640000,377,1251,2411,2499,1604,1192,1887,2499,411,413,40.210000,2395,2490,
14:53:26,33.640000,377,1251,2402,2499,1607,1194,1889,2499,413,411,40.270000,2395,2490,
14:53:28,33.670000,377,1251,2402,2499,1605,1192,1884,2499,411,412,40.290000,2395,2490,
14:53:30,33.670000,377,1251,2401,2499,1607,1193,1885,2499,411,411,40.320000,2395,2490,
14:53:32,33.670000,377,1251,2399,2499,1605,1194,1886,2499,411,413,40.350000,2395,2490,
14:53:34,33.690000,377,1251,2397,2499,1608,1196,1887,2499,412,413,40.370000,2391,2486,
14:53:36,33.710000,377,1251,2395,2499,1608,1193,1885,2499,411,412,40.400000,2391,2486,
14:53:38,33.690000,377,1251,2393,2499,1606,1193,1887,2499,411,414,40.400000,2391,2486,
14:53:40,33.710000,377,1251,2391,2499,1604,1193,1884,2499,413,412,40.430000,2391,2486,
14:53:42,33.740000,377,1251,2394,2499,1602,1193,1887,2499,411,413,40.430000,2391,2486,
14:53:45,33.740000,377,1251,2392,2499,1606,1195,1884,2499,413,414,40.480000,2391,2486,
14:53:46,33.790000,377,1251,2390,2499,1609,1193,1885,2499,413,414,40.510000,2391,2486,
14:53:49,33.760000,377,1251,2389,2499,1605,1193,1884,2499,412,413,40.510000,2388,2483,
14:53:50,33.790000,377,1251,2390,2499,1604,1195,1885,2499,411,414,40.560000,2388,2483,
14:53:53,33.810000,377,1251,2388,2499,1604,1195,1885,2499,413,414,40.590000,2388,2483,
14:53:54,33.810000,377,1251,2381,2499,1603,1193,1885,2499,412,414,40.620000,2388,2483,
14:53:57,33.810000,377,1251,2380,2499,1607,1193,1887,2499,411,413,40.640000,2388,2483,
14:53:58,33.840000,377,1251,2378,2499,1604,1193,1886,2499,411,411,40.700000,2388,2483,
14:54:01,33.840000,377,1251,2377,2499,1607,1195,1885,2499,411,413,40.700000,2385,2480,
14:54:03,33.860000,377,1251,2374,2499,1603,1193,1887,2499,412,414,40.730000,2385,2480,
14:54:05,33.860000,377,1251,2379,2499,1610,1193,1884,2499,411,413,40.750000,2385,2480,
14:54:07,33.880000,377,1251,2369,2499,1606,1195,1887,2499,412,413,40.780000,2385,2480,
14:54:09,33.910000,377,1251,2371,2499,1608,1195,1887,2499,413,413,40.840000,2385,2480,
14:54:11,33.910000,377,1251,2368,2499,1605,1194,1885,2499,413,414,40.840000,2382,2477,
14:54:13,33.930000,377,1250,2367,2499,1605,1195,1885,2499,413,413,40.890000,2382,2477,
14:54:15,33.960000,377,1251,2365,2499,1602,1195,1885,2499,412,414,40.920000,2382,2477,
14:54:17,33.960000,377,1251,2362,2499,1605,1194,1886,2499,413,413,40.940000,2382,2477,
14:54:19,33.980000,377,1251,2360,2499,1603,1195,1885,2499,413,413,40.970000,2382,2477,
14:54:21,33.980000,377,1251,2362,2499,1603,1194,1884,2499,413,413,41.030000,2378,2473,
14:54:23,34.000000,377,1251,2359,2499,1607,1193,1885,2499,414,413,41.030000,2378,2473,
14:54:25,34.000000,377,1251,2354,2499,1605,1194,1885,2499,413,413,41.080000,2378,2473,
14:54:27,34.030000,378,1251,2354,2499,1607,1195,1887,2499,412,414,41.110000,2378,2473,
14:54:29,34.030000,377,1251,2350,2499,1603,1193,1885,2499,413,413,41.160000,2378,2473,
14:54:31,34.080000,377,1251,2347,2499,1603,1193,1884,2499,413,413,41.160000,2375,2470,
14:54:33,34.080000,377,1251,2345,2499,1605,1193,1882,2499,414,414,41.190000,2375,2470,
14:54:35,34.100000,377,1251,2342,2499,1605,1193,1887,2499,413,413,41.240000,2375,2470,
14:54:38,34.100000,377,1251,2345,2499,1603,1193,1882,2499,413,413,41.300000,2375,2470,
14:54:39,34.130000,377,1251,2340,2499,1604,1193,1884,2499,413,413,41.330000,2375,2470,
14:54:42,34.130000,377,1251,2336,2499,1606,1193,1887,2499,413,414,41.350000,2375,2470,
14:54:43,34.150000,377,1251,2337,2499,1605,1194,1884,2499,413,414,41.380000,2372,2467,
14:54:46,34.150000,377,1251,2333,2499,1605,1193,1886,2499,413,415,41.440000,2372,2467,
14:54:47,34.170000,377,1251,2333,2499,1604,1193,1884,2499,413,414,41.460000,2372,2467,
14:54:50,34.200000,377,1251,2330,2499,1603,1194,1884,2499,413,413,41.490000,2372,2467,
14:54:51,34.220000,377,1251,2326,2499,1608,1193,1890,2499,414,415,41.490000,2372,2467,
14:54:54,34.250000,377,1251,2326,2499,1604,1193,1883,2499,413,415,41.550000,2368,2464,
14:54:56,34.250000,377,1251,2320,2499,1607,1194,1884,2499,413,414,41.570000,2368,2464,
14:54:58,34.270000,377,1251,2319,2499,1606,1192,1883,2499,415,415,41.630000,2368,2464,
14:55:00,34.300000,377,1251,2316,2499,1605,1193,1887,2499,412,413,41.690000,2368,2464,
14:55:02,34.320000,377,1251,2316,2499,1605,1194,1887,2499,415,415,41.710000,2365,2460,
14:55:04,34.320000,377,1251,2313,2499,1604,1194,1886,2499,414,413,41.740000,2365,2460,
14:55:06,34.370000,377,1251,2307,2499,1605,1195,1884,2499,416,415,41.770000,2365,2460,
14:55:08,34.370000,378,1251,2307,2499,1603,1193,1884,2499,413,415,41.800000,2365,2460,
14:55:10,34.390000,378,1251,2304,2499,1608,1193,1885,2499,412,413,41.850000,2365,2460,
14:55:12,34.420000,378,1251,2304,2499,1607,1193,1884,2499,415,413,41.880000,2362,2457,
14:55:14,34.440000,377,1251,2301,2499,1608,1193,1885,2499,413,415,41.930000,2362,2457,
14:55:16,34.440000,377,1251,2301,2499,1604,1194,1885,2499,415,416,41.960000,2362,2457,
14:55:18,34.470000,377,1251,2295,2499,1604,1192,1884,2499,413,416,42.020000,2359,2454,
14:55:20,34.490000,377,1251,2294,2499,1605,1193,1887,2499,414,416,42.070000,2359,2454,
14:55:22,34.520000,377,1251,2295,2499,1604,1195,1886,2499,415,416,42.130000,2359,2454,
14:55:24,34.540000,377,1251,2288,2499,1602,1194,1884,2499,414,415,42.130000,2359,2454,
14:55:26,34.540000,377,1251,2285,2499,1603,1193,1885,2499,413,415,42.190000,2355,2450,
14:55:28,34.590000,377,1251,2283,2499,1602,1194,1887,2499,413,415,42.240000,2355,2450,
14:55:31,34.590000,377,1251,2283,2499,1604,1194,1884,2499,415,415,42.300000,2355,2450,
14:55:32,34.610000,377,1251,2283,2499,1605,1193,1885,2499,415,413,42.300000,2355,2450,
14:55:35,34.640000,377,1251,2275,2499,1604,1192,1885,2499,414,415,42.350000,2352,2447,
14:55:36,34.640000,377,1251,2275,2499,1604,1193,1885,2499,413,415,42.410000,2352,2447,
14:55:39,34.690000,377,1251,2294,2499,1606,1193,1886,2499,414,415,42.440000,2352,2447,
14:55:40,34.690000,377,1251,2298,2499,1606,1195,1885,2499,415,415,42.490000,2352,2447,
14:55:43,34.710000,377,1251,2286,2499,1608,1194,1886,2499,413,413,42.550000,2349,2444,
14:55:44,34.740000,377,1251,2291,2499,1607,1193,1885,2499,413,414,42.580000,2349,2444,
14:55:47,34.760000,377,1251,2284,2499,1606,1194,1885,2499,415,416,42.630000,2349,2444,
14:55:49,34.780000,377,1251,2258,2499,1604,1195,1885,2499,414,415,42.690000,2345,2441,
14:55:51,34.780000,377,1251,2276,2499,1604,1193,1884,2499,415,416,42.720000,2345,2441,
14:55:53,34.810000,377,1251,2279,2499,1604,1194,1885,2499,414,415,42.750000,2345,2441,
14:55:55,34.860000,377,1251,2270,2499,1608,1195,1885,2499,415,414,42.800000,2345,2441,
14:55:57,34.880000,377,1251,2269,2499,1604,1192,1886,2499,415,415,42.830000,2342,2437,
14:55:59,34.880000,377,1251,2260,2499,1604,1193,1886,2499,413,416,42.920000,2342,2437,
14:56:01,34.930000,377,1251,2266,2499,1605,1193,1888,2499,414,416,42.950000,2342,2437,
14:56:03,34.930000,377,1251,2250,2499,1603,1193,1884,2499,415,418,42.970000,2342,2437,
14:56:05,34.960000,377,1251,2259,2499,1607,1193,1882,2499,414,415,43.030000,2339,2434,
14:56:07,34.980000,377,1251,2253,2499,1603,1193,1887,2499,415,415,43.090000,2339,2434,
14:56:09,35.010000,377,1251,2257,2499,1603,1195,1883,2499,416,416,43.120000,2339,2434,
14:56:11,35.030000,377,1251,2243,2499,1605,1192,1884,2499,415,417,43.200000,2339,2434,
14:56:13,35.080000,377,1251,2247,2499,1604,1192,1885,2499,413,416,43.200000,2336,2431,
14:56:15,35.080000,377,1251,2245,2499,1606,1193,1885,2499,415,415,43.260000,2336,2431,
14:56:17,35.130000,377,1251,2238,2499,1602,1193,1885,2499,416,418,43.320000,2336,2431,
14:56:19,35.150000,377,1251,2235,2499,1605,1194,1882,2499,414,416,43.370000,2332,2427,
14:56:21,35.180000,377,1251,2233,2499,1607,1193,1884,2499,415,416,43.430000,2332,2427,
14:56:24,35.180000,378,1251,2230,2499,1602,1192,1884,2499,416,418,43.490000,2332,2427,
14:56:25,35.200000,377,1251,2238,2499,1603,1193,1885,2499,415,416,43.520000,2332,2427,
14:56:28,35.230000,377,1251,2225,2499,1606,1195,1883,2499,413,417,43.570000,2329,2424,
14:56:29,35.250000,377,1251,2223,2499,1605,1195,1883,2499,415,418,43.600000,2329,2424,
14:56:32,35.280000,377,1251,2214,2499,1607,1195,1884,2499,416,418,43.690000,2329,2424,
14:56:33,35.300000,376,1251,2214,2499,1605,1195,1885,2499,416,416,43.690000,2326,2421,
14:56:36,35.350000,377,1251,2210,2499,1604,1193,1884,2499,413,416,43.780000,2326,2421,
14:56:37,35.350000,378,1252,2206,2499,1605,1194,1884,2499,415,418,43.800000,2326,2421,
14:56:40,35.370000,377,1251,2199,2499,1601,1194,1887,2499,415,416,43.860000,2322,2418,
14:56:42,35.400000,377,1251,2206,2499,1608,1193,1887,2499,415,419,43.920000,2322,2418,
14:56:44,35.450000,377,1251,2203,2499,1605,1193,1886,2499,416,415,43.980000,2322,2418,
14:56:46,35.450000,377,1251,2200,2499,1607,1192,1887,2499,415,415,44.040000,2319,2414,
14:56:48,35.500000,377,1251,2194,2499,1602,1193,1887,2499,415,417,44.060000,2319,2414,
14:56:50,35.520000,377,1251,2194,2499,1604,1195,1887,2499,415,415,44.120000,2319,2414,
14:56:52,35.550000,377,1251,2202,2499,1607,1195,1884,2499,416,416,44.180000,2316,2411,
14:56:54,35.550000,377,1251,2182,2499,1604,1193,1887,2499,416,419,44.210000,2316,2411,
14:56:56,35.570000,377,1251,2183,2499,1607,1193,1888,2499,415,416,44.270000,2316,2411,
14:56:58,35.620000,377,1251,2172,2499,1607,1193,1883,2499,416,417,44.300000,2316,2411,
14:57:00,35.650000,377,1251,2181,2499,1605,1192,1884,2499,417,418,44.410000,2313,2408,
14:57:02,35.670000,377,1252,2164,2499,1606,1195,1885,2499,416,418,44.440000,2313,2408,
14:57:04,35.720000,377,1251,2174,2499,1606,1193,1884,2499,416,417,44.500000,2309,2404,
14:57:06,35.720000,377,1251,2160,2499,1602,1193,1887,2499,415,416,44.530000,2309,2404,
14:57:08,35.770000,377,1251,2158,2499,1605,1193,1885,2499,415,417,44.620000,2309,2404,
14:57:10,35.800000,377,1251,2163,2499,1607,1194,1884,2499,416,416,44.650000,2309,2404,
14:57:12,35.820000,377,1251,2172,2499,1604,1193,1885,2499,416,418,44.710000,2306,2401,
14:57:14,35.870000,377,1251,2152,2499,1606,1195,1887,2499,415,416,44.770000,2306,2401,
14:57:17,35.870000,377,1251,2147,2499,1603,1193,1882,2499,417,417,44.830000,2306,2401,
14:57:18,35.900000,376,1251,2158,2499,1607,1193,1882,2499,417,416,44.880000,2303,2398,
14:57:21,35.920000,377,1251,2144,2499,1604,1196,1886,2499,416,417,44.940000,2303,2398,
14:57:22,35.970000,377,1251,2144,2499,1606,1193,1885,2499,418,418,45.000000,2299,2395,
14:57:25,36.020000,377,1251,2140,2499,1602,1193,1887,2499,416,417,45.060000,2299,2395,
14:57:26,36.020000,377,1251,2136,2499,1603,1194,1888,2499,416,415,45.120000,2299,2395,
14:57:29,36.050000,377,1251,2148,2499,1604,1193,1888,2499,417,418,45.150000,2299,2395,
